ID,X,Y,ODI,ODI归一化,类别,厚度Ti,间距Hi,埋深Di,采高Mi,垮落角,面宽,煤柱宽
WF-1-BJ169,497609.60,5403926.24,161.6071,0.293649,green,17.85,90.31,255.1799,13.00,65.0,0.0,0.0
WF-1-BJ170,497584.53,5403926.24,166.7584,0.317707,green,18.90,96.69,247.9648,13.00,65.0,0.0,0.0
WF-1-BJ171,497559.46,5403926.24,172.7484,0.345682,green,19.82,104.60,238.5358,13.00,65.0,0.0,0.0
WF-1-BJ172,497534.39,5403926.24,178.8087,0.373986,green,20.72,112.63,228.9209,13.00,65.0,0.0,0.0
WF-1-BJ173,497509.32,5403926.24,184.9720,0.402771,green,21.55,120.91,218.9693,13.00,65.0,0.0,0.0
WF-1-BJ174,497484.25,5403926.24,191.4783,0.433157,green,22.16,130.00,207.8967,13.00,65.0,0.0,0.0
WF-1-BJ175,497459.18,5403926.24,197.9847,0.463544,green,22.76,139.09,196.8242,13.00,65.0,0.0,0.0
WF-1-BJ176,497434.11,5403926.24,204.2977,0.493028,green,23.21,148.05,186.0057,13.00,65.0,0.0,0.0
WF-1-BJ177,497409.04,5403926.24,210.4456,0.521741,green,23.51,156.89,175.4041,13.00,65.0,0.0,0.0
WF-1-BJ178,497383.97,5403926.24,216.5935,0.550453,green,23.81,165.74,164.8026,13.00,65.0,0.0,0.0
